2025-09-20 02:57:03.795 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.017929, 时长=0.26s
2025-09-20 02:57:04.027 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:04.031 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:04.031 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001640, 增益=10.00
2025-09-20 02:57:04.032 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0375, rms_amp=0.0164, mean_amp=0.0135, non_zero_ratio=0.992, zero_ratio=0.008
2025-09-20 02:57:04.034 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.037537 > 0.003
2025-09-20 02:57:04.034 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0375, rms_amp=0.0164, buffer_before=69632, buffer_after=73728, trimmed=False, processing_time=6.7ms
2025-09-20 02:57:04.040 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.016395, 时长=0.26s
2025-09-20 02:57:04.288 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:04.291 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:04.292 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001482, 增益=10.00
2025-09-20 02:57:04.292 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0333, rms_amp=0.0148, mean_amp=0.0123, non_zero_ratio=0.990, zero_ratio=0.010
2025-09-20 02:57:04.294 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.033264 > 0.003
2025-09-20 02:57:04.294 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0333, rms_amp=0.0148, buffer_before=73728, buffer_after=77824, trimmed=False, processing_time=6.2ms
2025-09-20 02:57:04.302 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.014822, 时长=0.26s
